,rewards,discount,learning rate
0,-290.64012379166456,0.995,0.15
1,-236.42501813655994,0.995,0.15
2,-231.4452340944609,0.995,0.15
3,-111.96509496855091,0.995,0.15
4,-116.63825615336887,0.995,0.15
5,-75.24485467969996,0.995,0.15
6,-135.49736798269882,0.995,0.15
7,-90.32599630153477,0.995,0.15
8,-105.44079037026192,0.995,0.15
9,-172.8955104547261,0.995,0.15
10,-533.0718733000369,0.995,0.15
11,-213.86616693183635,0.995,0.15
12,-370.6601838305998,0.995,0.15
13,-194.8499664971025,0.995,0.15
14,-111.77124017045641,0.995,0.15
15,-128.96364668306677,0.995,0.15
16,-115.14263209904215,0.995,0.15
17,-161.28281518591564,0.995,0.15
18,-261.3127829668323,0.995,0.15
19,-114.20007396038463,0.995,0.15
20,-210.18465131704852,0.995,0.15
21,-85.53657581939025,0.995,0.15
22,-319.68999037227746,0.995,0.15
23,-102.90533156628369,0.995,0.15
24,-118.8819759607398,0.995,0.15
25,33.41706048739317,0.995,0.15
26,-163.3376910622501,0.995,0.15
27,-92.28610526602253,0.995,0.15
28,-78.881651796104,0.995,0.15
29,-334.1249798796224,0.995,0.15
30,-168.29536212410554,0.995,0.15
31,-310.7172282875524,0.995,0.15
32,-108.39178104080196,0.995,0.15
33,-93.17741425561968,0.995,0.15
34,-0.9748725286320195,0.995,0.15
35,-204.58071085383904,0.995,0.15
36,-7.580866352277269,0.995,0.15
37,-198.7871763815098,0.995,0.15
38,-186.98350207061986,0.995,0.15
39,-220.66812066665614,0.995,0.15
40,-322.40801282757866,0.995,0.15
41,-110.61725524403252,0.995,0.15
42,-200.92864213714955,0.995,0.15
43,-102.79616111332747,0.995,0.15
44,-315.58936443690027,0.995,0.15
45,-94.31730772123109,0.995,0.15
46,-120.29562648396612,0.995,0.15
47,-159.0820686471847,0.995,0.15
48,-129.79955806982613,0.995,0.15
49,-321.3520302958015,0.995,0.15
50,-281.88812709535034,0.995,0.15
51,-139.22850763508725,0.995,0.15
52,-504.1666321351076,0.995,0.15
53,-156.25352748374627,0.995,0.15
54,-140.3499274434394,0.995,0.15
55,-85.72412471429769,0.995,0.15
56,-221.5679484227461,0.995,0.15
57,-43.46891470571542,0.995,0.15
58,-391.67371984474664,0.995,0.15
59,-96.97273974434948,0.995,0.15
60,-226.52417397864127,0.995,0.15
61,-264.170598004043,0.995,0.15
62,-78.47994213665403,0.995,0.15
63,-145.20459828357596,0.995,0.15
64,-283.14978564100386,0.995,0.15
65,-112.10020204914939,0.995,0.15
66,-127.31722088911175,0.995,0.15
67,-23.283404344109258,0.995,0.15
68,-103.61804138470957,0.995,0.15
69,-258.8553763130022,0.995,0.15
70,-312.80918087363114,0.995,0.15
71,-138.6561699363849,0.995,0.15
72,23.362202108887885,0.995,0.15
73,-93.34376296543454,0.995,0.15
74,-197.70779514116325,0.995,0.15
75,-135.0053130989606,0.995,0.15
76,-86.75164130654613,0.995,0.15
77,-324.5580676607135,0.995,0.15
78,-66.52838511803864,0.995,0.15
79,-443.7934835734167,0.995,0.15
80,-427.05173474394223,0.995,0.15
81,-223.02938881097893,0.995,0.15
82,32.28195117966112,0.995,0.15
83,-121.37854054409414,0.995,0.15
84,-74.5042462191294,0.995,0.15
85,-252.8305793875979,0.995,0.15
86,-242.51008320948497,0.995,0.15
87,-197.33655093720805,0.995,0.15
88,-297.1461788447108,0.995,0.15
89,-92.73751369955825,0.995,0.15
90,-211.24099580027055,0.995,0.15
91,-70.66825624259974,0.995,0.15
92,-316.89069548869645,0.995,0.15
93,-137.57128962789,0.995,0.15
94,-273.4650955698488,0.995,0.15
95,-203.27605093334938,0.995,0.15
96,-230.56527971136467,0.995,0.15
97,-110.43435969264263,0.995,0.15
98,-145.64546085986098,0.995,0.15
99,-184.80575308243846,0.995,0.15
100,-88.4568497577485,0.995,0.15
101,-179.25808579948279,0.995,0.15
102,-199.51719485236157,0.995,0.15
103,-119.6604595227289,0.995,0.15
104,-111.77569163836189,0.995,0.15
105,-404.2126755573523,0.995,0.15
106,-92.47945191577121,0.995,0.15
107,10.535219759057881,0.995,0.15
108,-266.2120893871298,0.995,0.15
109,-49.85291636344793,0.995,0.15
110,-177.9290821027839,0.995,0.15
111,-124.64125024699224,0.995,0.15
112,-124.643516105472,0.995,0.15
113,-58.64055137627536,0.995,0.15
114,-79.1019854753396,0.995,0.15
115,-240.93556095463927,0.995,0.15
116,-124.64774681157667,0.995,0.15
117,-66.59859074213747,0.995,0.15
118,-124.67652657701693,0.995,0.15
119,-128.24828901691217,0.995,0.15
120,-58.32690511601925,0.995,0.15
121,-99.72336026954522,0.995,0.15
